"YEAR","GEOID","lhs","he","sc","bm","NAME"
1970,25025070103,7,8,4,6,"Census Tract 701.03"
1970,25025070104,40,44,23,35,"Census Tract 701.04"
1970,25025070201,220,71,31,13,"Census Tract 702.01"
1970,25025070202,472,235,114,116,"Census Tract 702.02"
1970,25025070301,523,364,185,327,"Census Tract 703.01"
1970,25025070302,320,220,112,196,"Census Tract 703.02"
1970,25025070402,534,306,62,51,"Census Tract 704.02"
1970,25025070501,717,250,64,79,"Census Tract 705.01"
1970,25025070502,1295,451,116,143,"Census Tract 705.02"
1970,25025070600,924,330,219,305,"Census Tract 706"
1970,25025070700,170,94,86,90,"Census Tract 707"
1970,25025070801,268,123,26,49,"Census Tract 708.01"
1970,25025070802,747,344,73,137,"Census Tract 708.02"
1970,25025070901,384,83,18,26,"Census Tract 709.01"
1970,25025070902,648,141,30,44,"Census Tract 709.02"
1970,25025071101,672,416,88,197,"Census Tract 711.01"
1970,25025071201,859,255,51,74,"Census Tract 712.01"
1970,25025080100,910,344,32,53,"Census Tract 801"
1970,25025080300,958,349,63,32,"Census Tract 803"
1970,25025080401,687,158,69,10,"Census Tract 804.01"
1970,25025080500,630,138,39,13,"Census Tract 805"
1970,25025080601,615,192,45,28,"Census Tract 806.01"
1970,25025080801,982,440,190,270,"Census Tract 808.01"
1970,25025080900,787,504,205,358,"Census Tract 809"
1970,25025081001,1063,733,229,558,"Census Tract 810.01"
1970,25025081101,266,185,67,70,"Census Tract 811.01"
1970,25025081102,569,382,135,141,"Census Tract 811.02"
1970,25025081200,1249,507,85,71,"Census Tract 812"
1970,25025081301,427,310,74,28,"Census Tract 813.01"
1970,25025081302,597,434,104,38,"Census Tract 813.02"
1970,25025081400,992,502,124,163,"Census Tract 814"
1970,25025081500,754,594,121,98,"Census Tract 815"
1970,25025081700,1253,700,160,68,"Census Tract 817"
1970,25025081800,1213,594,93,84,"Census Tract 818"
1970,25025081900,1151,865,211,104,"Census Tract 819"
1970,25025082000,1033,652,219,88,"Census Tract 820"
1970,25025082100,1073,1130,249,120,"Census Tract 821"
1970,25025090100,1308,1245,161,115,"Census Tract 901"
1970,25025090200,601,366,55,26,"Census Tract 902"
1970,25025090300,945,406,73,31,"Census Tract 903"
1970,25025090400,1334,578,94,50,"Census Tract 904"
1970,25025090600,950,332,12,17,"Census Tract 906"
1970,25025090700,1720,1044,154,55,"Census Tract 907"
1970,25025090901,1043,387,61,11,"Census Tract 909.01"
1970,25025091001,975,811,174,96,"Census Tract 910.01"
1970,25025091100,1771,1284,170,110,"Census Tract 911"
1970,25025091200,1124,811,113,123,"Census Tract 912"
1970,25025091300,904,459,57,25,"Census Tract 913"
1970,25025091400,967,434,99,87,"Census Tract 914"
1970,25025091500,1646,1012,181,149,"Census Tract 915"
1970,25025091600,1042,657,106,85,"Census Tract 916"
1970,25025091700,1043,794,85,34,"Census Tract 917"
1970,25025091800,1194,766,168,37,"Census Tract 918"
1970,25025091900,1246,698,194,127,"Census Tract 919"
1970,25025092000,1799,1161,240,77,"Census Tract 920"
1970,25025092101,2201,1478,203,179,"Census Tract 921.01"
1970,25025092200,1086,1123,191,152,"Census Tract 922"
1970,25025092300,967,577,150,66,"Census Tract 923"
1970,25025092400,1684,1251,274,99,"Census Tract 924"
1970,25025100100,1918,1093,248,51,"Census Tract 1001"
1970,25025100200,1017,695,145,81,"Census Tract 1002"
1970,25025100300,1112,962,184,136,"Census Tract 1003"
1970,25025100400,1148,1367,322,322,"Census Tract 1004"
1970,25025100500,2002,1571,250,185,"Census Tract 1005"
1970,25025100601,1636,1650,280,196,"Census Tract 1006.01"
1970,25025100603,628,634,108,75,"Census Tract 1006.03"
1970,25025100700,1305,1514,241,214,"Census Tract 1007"
1970,25025100800,1269,1734,493,315,"Census Tract 1008"
1970,25025100900,984,1372,257,188,"Census Tract 1009"
1970,25025101001,1623,1618,349,318,"Census Tract 1010.01"
1970,25025101002,1469,1471,317,288,"Census Tract 1010.02"
1970,25025101101,1091,845,179,125,"Census Tract 1011.01"
1970,25025101102,1436,1127,248,170,"Census Tract 1011.02"
1970,25025110104,861,607,87,83,"Census Tract 1101.04"
1970,25025110105,990,687,95,89,"Census Tract 1101.05"
1970,25025110106,577,400,56,52,"Census Tract 1101.06"
1970,25025110201,651,600,81,84,"Census Tract 1102.01"
1970,25025110301,666,782,147,94,"Census Tract 1103.01"
1970,25025110401,924,822,181,175,"Census Tract 1104.01"
1970,25025110403,1084,963,212,205,"Census Tract 1104.03"
1970,25025110501,992,1079,213,193,"Census Tract 1105.01"
1970,25025110502,1089,1185,233,211,"Census Tract 1105.02"
1970,25025110601,717,765,176,222,"Census Tract 1106.01"
1970,25025110607,1625,1735,400,504,"Census Tract 1106.07"
1970,25025120103,359,383,145,239,"Census Tract 1201.03"
1970,25025120104,537,573,217,358,"Census Tract 1201.04"
1970,25025120105,579,617,234,385,"Census Tract 1201.05"
1970,25025120201,1291,807,195,172,"Census Tract 1202.01"
1970,25025120301,2054,766,235,162,"Census Tract 1203.01"
1970,25025120400,2403,1428,439,510,"Census Tract 1204"
1970,25025120500,799,338,34,34,"Census Tract 1205"
1970,25025120600,1174,702,98,105,"Census Tract 1206"
1970,25025120700,511,537,238,342,"Census Tract 1207"
1970,25025130101,1222,1549,557,574,"Census Tract 1301.01"
1970,25025130200,929,1626,570,788,"Census Tract 1302"
1970,25025130300,827,1540,437,724,"Census Tract 1303"
1970,25025130402,1107,1396,401,381,"Census Tract 1304.02"
1970,25025130404,569,710,204,189,"Census Tract 1304.04"
1970,25025130406,969,1210,347,322,"Census Tract 1304.06"
1970,25025140102,1108,1233,246,168,"Census Tract 1401.02"
1970,25025140105,924,1029,205,140,"Census Tract 1401.05"
1970,25025140106,598,666,133,90,"Census Tract 1401.06"
1970,25025140107,681,759,151,103,"Census Tract 1401.07"
1970,25025140201,545,653,120,128,"Census Tract 1402.01"
1970,25025140202,1438,1721,315,339,"Census Tract 1402.02"
1970,25025140300,1658,1376,325,277,"Census Tract 1403"
1970,25025140400,1568,2080,418,340,"Census Tract 1404"
1970,25025980101,,,,,"Census Tract 9801.01"
1970,25025980300,,,,,"Census Tract 9803"
1970,25025980700,,,,,"Census Tract 9807"
1970,25025980900,,,,,"Census Tract 9809"
1970,25025981000,,,,,"Census Tract 9810"
1970,25025981100,,,,,"Census Tract 9811"
1970,25025981201,,,,,"Census Tract 9812.01"
1970,25025981202,,,,,"Census Tract 9812.02"
1970,25025981300,,,,,"Census Tract 9813"
1970,25025981501,,,,,"Census Tract 9815.01"
1970,25025981502,,,,,"Census Tract 9815.02"
1970,25025981600,,,,,"Census Tract 9816"
1970,25025981700,,,,,"Census Tract 9817"
1970,25025981800,,,,,"Census Tract 9818"
1970,25025981900,,,,,"Census Tract 9819"
1980,25025000101,288,401,122,272,"Census Tract 1.01"
1980,25025000102,339,472,144,319,"Census Tract 1.02"
1980,25025000201,553,849,370,622,"Census Tract 2.01"
1980,25025000202,619,959,385,463,"Census Tract 2.02"
1980,25025000301,452,704,258,662,"Census Tract 3.01"
1980,25025000302,448,698,256,655,"Census Tract 3.02"
1980,25025000401,901,1131,494,1193,"Census Tract 4.01"
1980,25025000402,557,699,306,738,"Census Tract 4.02"
1980,25025000502,329,588,426,1048,"Census Tract 5.02"
1980,25025000503,142,253,183,450,"Census Tract 5.03"
1980,25025000505,124,222,161,395,"Census Tract 5.05"
1980,25025000506,166,296,215,527,"Census Tract 5.06"
1980,25025000601,540,833,306,539,"Census Tract 6.01"
1980,25025000603,231,287,134,263,"Census Tract 6.03"
1980,25025000604,377,468,219,430,"Census Tract 6.04"
1980,25025000701,361,437,395,992,"Census Tract 7.01"
1980,25025000703,173,279,205,374,"Census Tract 7.03"
1980,25025000704,350,563,414,755,"Census Tract 7.04"
1980,25025000804,304,328,211,463,"Census Tract 8.04"
1980,25025000805,375,406,260,572,"Census Tract 8.05"
1980,25025000806,177,191,123,270,"Census Tract 8.06"
1980,25025000807,161,175,112,246,"Census Tract 8.07"
1980,25025010103,20,40,67,191,"Census Tract 101.03"
1980,25025010104,56,142,263,867,"Census Tract 101.04"
1980,25025010204,146,268,284,629,"Census Tract 102.04"
1980,25025010205,113,208,221,489,"Census Tract 102.05"
1980,25025010206,84,154,163,362,"Census Tract 102.06"
1980,25025010300,161,154,95,136,"Census Tract 103"
1980,25025010403,190,227,218,300,"Census Tract 104.03"
1980,25025010404,249,297,285,394,"Census Tract 104.04"
1980,25025010405,324,387,371,513,"Census Tract 104.05"
1980,25025010408,65,120,127,282,"Census Tract 104.08"
1980,25025010500,323,355,328,630,"Census Tract 105"
1980,25025010600,208,352,319,871,"Census Tract 106"
1980,25025010701,78,256,307,1448,"Census Tract 107.01"
1980,25025010702,74,246,295,1391,"Census Tract 107.02"
1980,25025010801,72,228,422,1508,"Census Tract 108.01"
1980,25025010802,76,238,440,1572,"Census Tract 108.02"
1980,25025020101,154,327,789,2769,"Census Tract 201.01"
1980,25025020200,149,400,543,1264,"Census Tract 202"
1980,25025020301,192,352,364,969,"Census Tract 203.01"
1980,25025020302,124,225,231,617,"Census Tract 203.02"
1980,25025020304,11,21,21,57,"Census Tract 203.04"
1980,25025020305,151,275,282,755,"Census Tract 203.05"
1980,25025030100,809,333,121,275,"Census Tract 301"
1980,25025030200,518,271,82,138,"Census Tract 302"
1980,25025030301,118,164,142,418,"Census Tract 303.01"
1980,25025030302,128,167,142,416,"Census Tract 303.02"
1980,25025030400,854,720,273,895,"Census Tract 304"
1980,25025030500,629,287,144,433,"Census Tract 305"
1980,25025040100,166,256,200,390,"Census Tract 401"
1980,25025040200,305,325,43,94,"Census Tract 402"
1980,25025040300,813,1102,240,351,"Census Tract 403"
1980,25025040401,633,562,213,256,"Census Tract 404.01"
1980,25025040600,596,677,123,124,"Census Tract 406"
1980,25025040801,486,317,27,15,"Census Tract 408.01"
1980,25025050101,1143,1026,153,88,"Census Tract 501.01"
1980,25025050200,1252,734,125,110,"Census Tract 502"
1980,25025050300,569,291,59,17,"Census Tract 503"
1980,25025050400,692,371,72,58,"Census Tract 504"
1980,25025050500,598,261,40,35,"Census Tract 505"
1980,25025050600,674,254,54,23,"Census Tract 506"
1980,25025050700,1148,726,128,60,"Census Tract 507"
1980,25025050901,1094,806,105,76,"Census Tract 509.01"
1980,25025051000,1266,1113,199,119,"Census Tract 510"
1980,25025051101,1470,1510,374,330,"Census Tract 511.01"
1980,25025051200,846,570,99,85,"Census Tract 512"
1980,25025060101,670,1244,274,252,"Census Tract 601.01"
1980,25025060200,345,823,208,204,"Census Tract 602"
1980,25025060301,667,1189,260,158,"Census Tract 603.01"
1980,25025060400,1388,1764,406,317,"Census Tract 604"
1980,25025060501,786,817,189,93,"Census Tract 605.01"
1980,25025060601,139,118,23,4,"Census Tract 606.01"
1980,25025060602,10,9,2,1,"Census Tract 606.02"
1980,25025060603,6,5,1,0,"Census Tract 606.03"
1980,25025060604,20,17,3,1,"Census Tract 606.04"
1980,25025060700,495,212,22,16,"Census Tract 607"
1980,25025060800,1081,885,107,156,"Census Tract 608"
1980,25025061000,622,755,88,62,"Census Tract 610"
1980,25025061101,625,559,58,29,"Census Tract 611.01"
1980,25025061201,467,337,67,7,"Census Tract 612.01"
1980,25025061202,,,,,"Census Tract 612.02"
1980,25025061203,102,95,19,40,"Census Tract 612.03"
1980,25025061204,20,18,4,8,"Census Tract 612.04"
1980,25025070102,168,135,116,226,"Census Tract 701.02"
1980,25025070103,11,9,8,15,"Census Tract 701.03"
1980,25025070104,64,51,44,86,"Census Tract 701.04"
1980,25025070201,499,151,38,101,"Census Tract 702.01"
1980,25025070202,1003,389,180,396,"Census Tract 702.02"
1980,25025070301,363,360,150,672,"Census Tract 703.01"
1980,25025070302,233,221,91,407,"Census Tract 703.02"
1980,25025070402,575,318,95,51,"Census Tract 704.02"
1980,25025070501,586,190,136,359,"Census Tract 705.01"
1980,25025070502,1058,344,247,648,"Census Tract 705.02"
1980,25025070600,322,422,258,1014,"Census Tract 706"
1980,25025070700,306,229,234,317,"Census Tract 707"
1980,25025070801,155,159,76,141,"Census Tract 708.01"
1980,25025070802,431,443,214,392,"Census Tract 708.02"
1980,25025070901,242,238,109,98,"Census Tract 709.01"
1980,25025070902,409,401,183,165,"Census Tract 709.02"
1980,25025071101,676,377,397,554,"Census Tract 711.01"
1980,25025071201,292,122,39,72,"Census Tract 712.01"
1980,25025080100,496,274,74,85,"Census Tract 801"
1980,25025080300,450,378,32,84,"Census Tract 803"
1980,25025080401,637,523,145,73,"Census Tract 804.01"
1980,25025080500,646,631,240,119,"Census Tract 805"
1980,25025080601,307,234,30,40,"Census Tract 806.01"
1980,25025080801,579,242,103,207,"Census Tract 808.01"
1980,25025080900,319,598,269,555,"Census Tract 809"
1980,25025081001,789,790,619,467,"Census Tract 810.01"
1980,25025081101,170,200,101,97,"Census Tract 811.01"
1980,25025081102,368,412,204,194,"Census Tract 811.02"
1980,25025081200,908,525,149,60,"Census Tract 812"
1980,25025081301,455,339,88,28,"Census Tract 813.01"
1980,25025081302,635,474,122,40,"Census Tract 813.02"
1980,25025081400,623,434,149,256,"Census Tract 814"
1980,25025081500,568,591,151,194,"Census Tract 815"
1980,25025081700,779,697,338,109,"Census Tract 817"
1980,25025081800,653,524,135,101,"Census Tract 818"
1980,25025081900,850,692,205,226,"Census Tract 819"
1980,25025082000,831,687,391,175,"Census Tract 820"
1980,25025082100,1216,1069,307,228,"Census Tract 821"
1980,25025090100,942,958,302,148,"Census Tract 901"
1980,25025090200,302,428,131,50,"Census Tract 902"
1980,25025090300,825,491,133,97,"Census Tract 903"
1980,25025090400,686,385,162,92,"Census Tract 904"
1980,25025090600,652,302,23,21,"Census Tract 906"
1980,25025090700,1005,1111,239,202,"Census Tract 907"
1980,25025090901,272,199,14,8,"Census Tract 909.01"
1980,25025091001,568,588,211,256,"Census Tract 910.01"
1980,25025091100,929,1177,359,198,"Census Tract 911"
1980,25025091200,673,768,221,227,"Census Tract 912"
1980,25025091300,557,414,35,41,"Census Tract 913"
1980,25025091400,518,413,93,79,"Census Tract 914"
1980,25025091500,1297,771,389,149,"Census Tract 915"
1980,25025091600,524,639,128,100,"Census Tract 916"
1980,25025091700,567,737,132,158,"Census Tract 917"
1980,25025091800,635,597,193,98,"Census Tract 918"
1980,25025091900,538,810,231,83,"Census Tract 919"
1980,25025092000,991,929,270,205,"Census Tract 920"
1980,25025092101,1290,1414,382,253,"Census Tract 921.01"
1980,25025092200,668,666,190,426,"Census Tract 922"
1980,25025092300,458,528,203,132,"Census Tract 923"
1980,25025092400,1117,1197,385,65,"Census Tract 924"
1980,25025100100,922,762,113,97,"Census Tract 1001"
1980,25025100200,478,489,68,74,"Census Tract 1002"
1980,25025100300,626,793,254,60,"Census Tract 1003"
1980,25025100400,960,1130,435,450,"Census Tract 1004"
1980,25025100500,981,1085,420,556,"Census Tract 1005"
1980,25025100601,1034,1542,350,263,"Census Tract 1006.01"
1980,25025100603,547,523,168,147,"Census Tract 1006.03"
1980,25025100700,914,1704,439,354,"Census Tract 1007"
1980,25025100800,1035,1648,469,473,"Census Tract 1008"
1980,25025100900,663,1170,391,328,"Census Tract 1009"
1980,25025101001,747,1485,657,311,"Census Tract 1010.01"
1980,25025101002,876,1378,535,455,"Census Tract 1010.02"
1980,25025101101,513,904,226,83,"Census Tract 1011.01"
1980,25025101102,690,959,256,152,"Census Tract 1011.02"
1980,25025110104,340,452,142,167,"Census Tract 1101.04"
1980,25025110105,382,503,159,186,"Census Tract 1101.05"
1980,25025110106,222,293,93,108,"Census Tract 1101.06"
1980,25025110201,360,559,90,93,"Census Tract 1102.01"
1980,25025110301,420,582,215,268,"Census Tract 1103.01"
1980,25025110401,702,805,194,154,"Census Tract 1104.01"
1980,25025110403,762,1189,338,365,"Census Tract 1104.03"
1980,25025110501,656,1075,269,394,"Census Tract 1105.01"
1980,25025110502,923,1010,294,274,"Census Tract 1105.02"
1980,25025110601,365,698,338,538,"Census Tract 1106.01"
1980,25025110607,1145,1725,522,647,"Census Tract 1106.07"
1980,25025120103,220,355,143,382,"Census Tract 1201.03"
1980,25025120104,329,531,214,572,"Census Tract 1201.04"
1980,25025120105,354,572,230,617,"Census Tract 1201.05"
1980,25025120201,917,504,240,411,"Census Tract 1202.01"
1980,25025120301,1160,956,290,411,"Census Tract 1203.01"
1980,25025120400,1239,1124,580,1302,"Census Tract 1204"
1980,25025120500,643,267,86,108,"Census Tract 1205"
1980,25025120600,496,451,225,400,"Census Tract 1206"
1980,25025120700,340,439,130,479,"Census Tract 1207"
1980,25025130101,791,1788,994,1080,"Census Tract 1301.01"
1980,25025130200,641,1409,476,945,"Census Tract 1302"
1980,25025130300,510,1262,543,1016,"Census Tract 1303"
1980,25025130402,825,1688,537,588,"Census Tract 1304.02"
1980,25025130404,520,785,223,258,"Census Tract 1304.04"
1980,25025130406,885,1337,380,440,"Census Tract 1304.06"
1980,25025140102,726,1111,386,310,"Census Tract 1401.02"
1980,25025140105,624,896,260,256,"Census Tract 1401.05"
1980,25025140106,403,579,168,165,"Census Tract 1401.06"
1980,25025140107,459,660,192,188,"Census Tract 1401.07"
1980,25025140201,393,660,185,151,"Census Tract 1402.01"
1980,25025140202,1035,1741,488,397,"Census Tract 1402.02"
1980,25025140300,1069,1376,367,357,"Census Tract 1403"
1980,25025140400,1419,1928,661,454,"Census Tract 1404"
1980,25025980101,,,,,"Census Tract 9801.01"
1980,25025980300,,,,,"Census Tract 9803"
1980,25025980700,,,,,"Census Tract 9807"
1980,25025980900,,,,,"Census Tract 9809"
1980,25025981000,,,,,"Census Tract 9810"
1980,25025981100,,,,,"Census Tract 9811"
1980,25025981201,,,,,"Census Tract 9812.01"
1980,25025981202,,,,,"Census Tract 9812.02"
1980,25025981300,,,,,"Census Tract 9813"
1980,25025981501,,,,,"Census Tract 9815.01"
1980,25025981502,,,,,"Census Tract 9815.02"
1980,25025981600,,,,,"Census Tract 9816"
1980,25025981700,,,,,"Census Tract 9817"
1980,25025981800,,,,,"Census Tract 9818"
1980,25025981900,,,,,"Census Tract 9819"
1990,25025000101,278,366,238,364,"Census Tract 1.01"
1990,25025000102,325,430,278,427,"Census Tract 1.02"
1990,25025000201,408,645,519,1039,"Census Tract 2.01"
1990,25025000202,516,748,453,860,"Census Tract 2.02"
1990,25025000301,293,522,362,1065,"Census Tract 3.01"
1990,25025000302,291,518,358,1055,"Census Tract 3.02"
1990,25025000401,727,709,595,1627,"Census Tract 4.01"
1990,25025000402,387,390,457,1079,"Census Tract 4.02"
1990,25025000502,178,380,575,1898,"Census Tract 5.02"
1990,25025000503,106,224,231,950,"Census Tract 5.03"
1990,25025000505,93,196,203,834,"Census Tract 5.05"
1990,25025000506,124,262,271,1113,"Census Tract 5.06"
1990,25025000601,345,600,446,1111,"Census Tract 6.01"
1990,25025000603,302,263,173,366,"Census Tract 6.03"
1990,25025000604,492,430,282,598,"Census Tract 6.04"
1990,25025000701,417,421,450,1264,"Census Tract 7.01"
1990,25025000703,214,188,228,635,"Census Tract 7.03"
1990,25025000704,433,379,462,1284,"Census Tract 7.04"
1990,25025000804,407,337,238,705,"Census Tract 8.04"
1990,25025000805,485,400,282,913,"Census Tract 8.05"
1990,25025000806,78,54,26,787,"Census Tract 8.06"
1990,25025000807,71,49,24,720,"Census Tract 8.07"
1990,25025010103,7,26,48,215,"Census Tract 101.03"
1990,25025010104,67,223,271,1116,"Census Tract 101.04"
1990,25025010204,62,140,356,856,"Census Tract 102.04"
1990,25025010205,48,109,277,665,"Census Tract 102.05"
1990,25025010206,36,81,205,492,"Census Tract 102.06"
1990,25025010300,188,166,141,178,"Census Tract 103"
1990,25025010403,195,214,316,769,"Census Tract 104.03"
1990,25025010404,255,281,415,1009,"Census Tract 104.04"
1990,25025010405,404,195,363,369,"Census Tract 104.05"
1990,25025010408,28,63,159,383,"Census Tract 104.08"
1990,25025010500,98,201,262,1214,"Census Tract 105"
1990,25025010600,128,282,317,994,"Census Tract 106"
1990,25025010701,25,100,273,1462,"Census Tract 107.01"
1990,25025010702,24,96,263,1405,"Census Tract 107.02"
1990,25025010801,65,36,330,1774,"Census Tract 108.01"
1990,25025010802,67,37,343,1849,"Census Tract 108.02"
1990,25025020101,32,144,394,3110,"Census Tract 201.01"
1990,25025020200,86,148,391,1653,"Census Tract 202"
1990,25025020301,196,168,273,1049,"Census Tract 203.01"
1990,25025020302,127,108,173,663,"Census Tract 203.02"
1990,25025020304,12,10,16,61,"Census Tract 203.04"
1990,25025020305,156,132,212,811,"Census Tract 203.05"
1990,25025030100,373,339,228,523,"Census Tract 301"
1990,25025030200,421,205,171,402,"Census Tract 302"
1990,25025030301,125,176,173,589,"Census Tract 303.01"
1990,25025030302,133,178,174,589,"Census Tract 303.02"
1990,25025030400,494,493,558,1515,"Census Tract 304"
1990,25025030500,460,245,290,580,"Census Tract 305"
1990,25025040100,164,231,344,863,"Census Tract 401"
1990,25025040200,187,351,161,149,"Census Tract 402"
1990,25025040300,394,894,317,1192,"Census Tract 403"
1990,25025040401,292,519,269,455,"Census Tract 404.01"
1990,25025040600,281,397,431,565,"Census Tract 406"
1990,25025040801,433,352,295,900,"Census Tract 408.01"
1990,25025050101,1046,880,442,253,"Census Tract 501.01"
1990,25025050200,1036,772,394,240,"Census Tract 502"
1990,25025050300,651,267,109,64,"Census Tract 503"
1990,25025050400,678,441,191,107,"Census Tract 504"
1990,25025050500,444,348,165,85,"Census Tract 505"
1990,25025050600,580,314,173,46,"Census Tract 506"
1990,25025050700,1070,705,281,140,"Census Tract 507"
1990,25025050901,866,668,340,124,"Census Tract 509.01"
1990,25025051000,1025,1167,413,233,"Census Tract 510"
1990,25025051101,1068,1479,641,547,"Census Tract 511.01"
1990,25025051200,591,714,262,154,"Census Tract 512"
1990,25025060101,447,1089,504,376,"Census Tract 601.01"
1990,25025060200,207,741,252,372,"Census Tract 602"
1990,25025060301,494,960,515,472,"Census Tract 603.01"
1990,25025060400,750,1573,787,611,"Census Tract 604"
1990,25025060501,623,983,616,364,"Census Tract 605.01"
1990,25025060601,111,143,174,200,"Census Tract 606.01"
1990,25025060602,7,9,12,15,"Census Tract 606.02"
1990,25025060603,5,6,8,9,"Census Tract 606.03"
1990,25025060604,16,21,25,29,"Census Tract 606.04"
1990,25025060700,373,270,68,13,"Census Tract 607"
1990,25025060800,596,861,358,369,"Census Tract 608"
1990,25025061000,610,735,228,112,"Census Tract 610"
1990,25025061101,557,538,108,71,"Census Tract 611.01"
1990,25025061201,331,415,154,153,"Census Tract 612.01"
1990,25025061202,,,,,"Census Tract 612.02"
1990,25025061203,45,33,124,191,"Census Tract 612.03"
1990,25025061204,9,6,24,37,"Census Tract 612.04"
1990,25025070102,228,85,118,248,"Census Tract 701.02"
1990,25025070103,16,6,8,17,"Census Tract 701.03"
1990,25025070104,87,32,45,94,"Census Tract 701.04"
1990,25025070201,449,151,83,96,"Census Tract 702.01"
1990,25025070202,980,338,257,410,"Census Tract 702.02"
1990,25025070301,339,153,269,954,"Census Tract 703.01"
1990,25025070302,209,94,166,589,"Census Tract 703.02"
1990,25025070402,716,189,134,25,"Census Tract 704.02"
1990,25025070501,445,190,218,570,"Census Tract 705.01"
1990,25025070502,805,344,393,1030,"Census Tract 705.02"
1990,25025070600,110,174,369,1216,"Census Tract 706"
1990,25025070700,217,148,360,763,"Census Tract 707"
1990,25025070801,111,49,110,317,"Census Tract 708.01"
1990,25025070802,310,138,306,885,"Census Tract 708.02"
1990,25025070901,122,121,163,303,"Census Tract 709.01"
1990,25025070902,207,203,276,511,"Census Tract 709.02"
1990,25025071101,412,417,430,871,"Census Tract 711.01"
1990,25025071201,385,226,175,224,"Census Tract 712.01"
1990,25025080100,610,262,115,74,"Census Tract 801"
1990,25025080300,462,437,234,76,"Census Tract 803"
1990,25025080401,613,446,252,79,"Census Tract 804.01"
1990,25025080500,691,497,412,130,"Census Tract 805"
1990,25025080601,508,230,154,71,"Census Tract 806.01"
1990,25025080801,807,279,277,239,"Census Tract 808.01"
1990,25025080900,251,615,395,633,"Census Tract 809"
1990,25025081001,886,658,553,984,"Census Tract 810.01"
1990,25025081101,238,219,172,236,"Census Tract 811.01"
1990,25025081102,494,447,348,471,"Census Tract 811.02"
1990,25025081200,732,447,272,189,"Census Tract 812"
1990,25025081301,544,290,208,55,"Census Tract 813.01"
1990,25025081302,761,405,290,76,"Census Tract 813.02"
1990,25025081400,401,348,381,350,"Census Tract 814"
1990,25025081500,537,540,195,231,"Census Tract 815"
1990,25025081700,910,603,463,317,"Census Tract 817"
1990,25025081800,615,445,394,266,"Census Tract 818"
1990,25025081900,501,507,546,379,"Census Tract 819"
1990,25025082000,787,646,493,200,"Census Tract 820"
1990,25025082100,1209,884,340,246,"Census Tract 821"
1990,25025090100,880,837,479,314,"Census Tract 901"
1990,25025090200,541,312,164,61,"Census Tract 902"
1990,25025090300,511,594,221,172,"Census Tract 903"
1990,25025090400,590,407,300,169,"Census Tract 904"
1990,25025090600,548,218,173,46,"Census Tract 906"
1990,25025090700,990,1234,410,351,"Census Tract 907"
1990,25025090901,413,235,161,324,"Census Tract 909.01"
1990,25025091001,450,664,291,410,"Census Tract 910.01"
1990,25025091100,711,1153,670,468,"Census Tract 911"
1990,25025091200,469,687,444,448,"Census Tract 912"
1990,25025091300,491,461,236,86,"Census Tract 913"
1990,25025091400,374,503,259,203,"Census Tract 914"
1990,25025091500,1163,598,489,217,"Census Tract 915"
1990,25025091600,542,407,389,314,"Census Tract 916"
1990,25025091700,615,562,286,265,"Census Tract 917"
1990,25025091800,562,658,359,187,"Census Tract 918"
1990,25025091900,1021,810,390,110,"Census Tract 919"
1990,25025092000,814,958,450,481,"Census Tract 920"
1990,25025092101,1134,1322,723,540,"Census Tract 921.01"
1990,25025092200,474,629,395,598,"Census Tract 922"
1990,25025092300,775,530,278,241,"Census Tract 923"
1990,25025092400,1471,893,425,307,"Census Tract 924"
1990,25025100100,1046,867,407,145,"Census Tract 1001"
1990,25025100200,528,445,348,140,"Census Tract 1002"
1990,25025100300,603,739,447,265,"Census Tract 1003"
1990,25025100400,847,894,844,646,"Census Tract 1004"
1990,25025100500,1151,930,843,706,"Census Tract 1005"
1990,25025100601,695,1152,788,663,"Census Tract 1006.01"
1990,25025100603,400,548,369,211,"Census Tract 1006.03"
1990,25025100700,629,1344,709,655,"Census Tract 1007"
1990,25025100800,711,1240,1020,940,"Census Tract 1008"
1990,25025100900,466,936,761,643,"Census Tract 1009"
1990,25025101001,895,1274,1098,535,"Census Tract 1010.01"
1990,25025101002,846,1154,1023,392,"Census Tract 1010.02"
1990,25025101101,688,592,632,252,"Census Tract 1011.01"
1990,25025101102,939,756,622,247,"Census Tract 1011.02"
1990,25025110104,419,302,259,353,"Census Tract 1101.04"
1990,25025110105,481,337,291,393,"Census Tract 1101.05"
1990,25025110106,280,196,169,229,"Census Tract 1101.06"
1990,25025110201,230,453,307,113,"Census Tract 1102.01"
1990,25025110301,290,528,394,471,"Census Tract 1103.01"
1990,25025110401,642,762,448,385,"Census Tract 1104.01"
1990,25025110403,525,1073,633,674,"Census Tract 1104.03"
1990,25025110501,428,543,541,911,"Census Tract 1105.01"
1990,25025110502,589,976,506,590,"Census Tract 1105.02"
1990,25025110601,263,441,401,885,"Census Tract 1106.01"
1990,25025110607,850,1138,883,1368,"Census Tract 1106.07"
1990,25025120103,132,205,201,667,"Census Tract 1201.03"
1990,25025120104,198,306,300,998,"Census Tract 1201.04"
1990,25025120105,213,330,323,1075,"Census Tract 1201.05"
1990,25025120201,674,561,491,899,"Census Tract 1202.01"
1990,25025120301,1076,681,591,787,"Census Tract 1203.01"
1990,25025120400,568,749,752,2250,"Census Tract 1204"
1990,25025120500,744,293,201,120,"Census Tract 1205"
