"YEAR","GEOID","male","female","NAME","landarea_sqmiles","occ_hu"
1950,25025061203,606,602,"Census Tract 612.03",0.136182865,329
1950,25025061204,116,115,"Census Tract 612.04",0.159165209,63
1950,25025070102,330,111,"Census Tract 701.02",0.053658934,103
1950,25025070103,16,5,"Census Tract 701.03",0.041543048,5
1950,25025070104,126,42,"Census Tract 701.04",0.294131852,39
1950,25025070201,899,491,"Census Tract 702.01",0.05561068,315
1950,25025070202,1873,907,"Census Tract 702.02",0.068935452,601
1950,25025070301,1704,1586,"Census Tract 703.01",0.055340408,872
1950,25025070302,1071,974,"Census Tract 703.02",0.074635092,535
1950,25025070402,1805,1647,"Census Tract 704.02",0.095440593,1150
1950,25025070501,2211,1417,"Census Tract 705.01",0.04743767,679
1950,25025070502,3497,2667,"Census Tract 705.02",0.06734278,1447
1950,25025070600,2814,2251,"Census Tract 706",0.051365487,945
1950,25025070700,1608,1535,"Census Tract 707",0.062817663,681
1950,25025070801,791,692,"Census Tract 708.01",0.023642966,404
1950,25025070802,2209,1932,"Census Tract 708.02",0.050175134,1128
1950,25025070901,1043,925,"Census Tract 709.01",0.02227462,565
1950,25025070902,1760,1560,"Census Tract 709.02",0.042808305,952
1950,25025071101,2837,3879,"Census Tract 711.01",0.138622644,1353
1950,25025071201,2862,2490,"Census Tract 712.01",0.15918104,1564
1950,25025080100,2367,2682,"Census Tract 801",0.396397187,1317
1950,25025080300,2767,2920,"Census Tract 803",0.103797002,1333
1950,25025080401,3822,4106,"Census Tract 804.01",0.170003869,2304
1950,25025080500,3215,3769,"Census Tract 805",0.09423827,2217
1950,25025080601,3211,3341,"Census Tract 806.01",0.216860069,1859
1950,25025080801,2915,3660,"Census Tract 808.01",0.140884817,1678
1950,25025080900,2133,2625,"Census Tract 809",0.099032115,1305
1950,25025081001,2725,3866,"Census Tract 810.01",0.216102536,1774
1950,25025081101,566,830,"Census Tract 811.01",0.045476271,331
1950,25025081102,1206,1736,"Census Tract 811.02",0.145509548,701
1950,25025081200,2530,2791,"Census Tract 812",0.103962253,1312
1950,25025081301,914,1039,"Census Tract 813.01",0.090988835,573
1950,25025081302,1277,1451,"Census Tract 813.02",0.133082078,801
1950,25025081400,3691,4018,"Census Tract 814",0.239568667,2200
1950,25025081500,2876,3192,"Census Tract 815",0.129843453,1414
1950,25025081700,4608,5148,"Census Tract 817",0.244740506,2720
1950,25025081800,3008,3248,"Census Tract 818",0.144372091,1701
1950,25025081900,3566,4069,"Census Tract 819",0.16732934,2035
1950,25025082000,2675,2931,"Census Tract 820",0.151412278,1462
1950,25025082100,3274,3552,"Census Tract 821",0.14308058,2075
1950,25025090100,3738,4103,"Census Tract 901",0.172573765,2212
1950,25025090200,1545,1687,"Census Tract 902",0.105664964,898
1950,25025090300,2800,3005,"Census Tract 903",0.146870944,1610
1950,25025090400,4188,4483,"Census Tract 904",0.164147086,2214
1950,25025090600,2866,2981,"Census Tract 906",0.116473508,1491
1950,25025090700,3496,3771,"Census Tract 907",0.414312713,1973
1950,25025090901,1250,1277,"Census Tract 909.01",0.452978913,655
1950,25025091001,1680,1718,"Census Tract 910.01",0.458021022,881
1950,25025091100,3236,3547,"Census Tract 911",0.162951327,1788
1950,25025091200,1754,2292,"Census Tract 912",0.124947292,1145
1950,25025091300,2050,2190,"Census Tract 913",0.101374983,1096
1950,25025091400,1934,2140,"Census Tract 914",0.125490924,1222
1950,25025091500,2659,2991,"Census Tract 915",0.156049751,1523
1950,25025091600,2233,2411,"Census Tract 916",0.12091098,1207
1950,25025091700,2047,2220,"Census Tract 917",0.1115314,1118
1950,25025091800,2752,2967,"Census Tract 918",0.166821615,1483
1950,25025091900,2579,2906,"Census Tract 919",0.186094677,1436
1950,25025092000,3138,3633,"Census Tract 920",0.189089285,1831
1950,25025092101,4497,4989,"Census Tract 921.01",0.504290732,2522
1950,25025092200,1955,2472,"Census Tract 922",0.224914546,1107
1950,25025092300,2068,2352,"Census Tract 923",0.132423002,1181
1950,25025092400,3824,4124,"Census Tract 924",0.229532328,2200
1950,25025100100,3963,3998,"Census Tract 1001",0.400228864,2165
1950,25025100200,2312,2322,"Census Tract 1002",0.135383247,1307
1950,25025100300,2469,2660,"Census Tract 1003",0.189914771,1374
1950,25025100400,2628,3121,"Census Tract 1004",0.241796477,1568
1950,25025100500,3869,4370,"Census Tract 1005",0.331165999,2200
1950,25025100601,3376,3804,"Census Tract 1006.01",0.213354647,1815
1950,25025100603,1295,1459,"Census Tract 1006.03",0.336872589,697
1950,25025100700,2865,2965,"Census Tract 1007",0.467614116,1545
1950,25025100800,3046,3493,"Census Tract 1008",0.67442742,1694
1950,25025100900,2053,2274,"Census Tract 1009",0.36810362,1123
1950,25025101001,2160,2161,"Census Tract 1010.01",0.502755976,1084
1950,25025101002,1983,1993,"Census Tract 1010.02",0.449781988,1000
1950,25025101101,2312,2454,"Census Tract 1011.01",0.226860501,1231
1950,25025101102,3094,3240,"Census Tract 1011.02",0.216677443,1699
1950,25025110104,1576,1884,"Census Tract 1101.04",0.1165793,605
1950,25025110105,1737,2054,"Census Tract 1101.05",0.134392123,689
1950,25025110106,1057,1264,"Census Tract 1101.06",0.082110029,399
1950,25025110201,673,719,"Census Tract 1102.01",0.13444386,395
1950,25025110301,1192,1310,"Census Tract 1103.01",0.315804925,679
1950,25025110401,1717,1860,"Census Tract 1104.01",0.201915985,960
1950,25025110403,1987,2147,"Census Tract 1104.03",0.364042598,1121
1950,25025110501,2113,2324,"Census Tract 1105.01",0.250131264,1219
1950,25025110502,2321,2553,"Census Tract 1105.02",0.264209707,1339
1950,25025110601,1285,1487,"Census Tract 1106.01",0.543044192,772
1950,25025110607,2914,3372,"Census Tract 1106.07",0.433989637,1752
1950,25025120103,732,937,"Census Tract 1201.03",0.131346549,440
1950,25025120104,1096,1402,"Census Tract 1201.04",0.156680256,658
1950,25025120105,1179,1508,"Census Tract 1201.05",0.710337624,708
1950,25025120201,2460,2619,"Census Tract 1202.01",0.275355704,1370
1950,25025120301,3508,3858,"Census Tract 1203.01",0.253905799,1948
1950,25025120400,4035,4869,"Census Tract 1204",0.386042699,2383
1950,25025120500,1807,1992,"Census Tract 1205",0.082512348,1056
1950,25025120600,1803,2022,"Census Tract 1206",0.099342155,1073
1950,25025120700,1000,1217,"Census Tract 1207",0.119922558,676
1950,25025130101,2599,2811,"Census Tract 1301.01",1.030221718,1503
1950,25025130200,2566,3161,"Census Tract 1302",0.522263401,1590
1950,25025130300,2578,3042,"Census Tract 1303",0.556938464,1446
1950,25025130402,1490,1668,"Census Tract 1304.02",0.719645389,820
1950,25025130404,743,830,"Census Tract 1304.04",0.618358051,409
1950,25025130406,1347,1458,"Census Tract 1304.06",0.406296846,725
1950,25025140102,1371,1429,"Census Tract 1401.02",0.806045785,721
1950,25025140105,1144,1193,"Census Tract 1401.05",0.389679009,602
1950,25025140106,740,771,"Census Tract 1401.06",0.107659568,389
1950,25025140107,843,879,"Census Tract 1401.07",0.24222505,443
1950,25025140201,960,988,"Census Tract 1402.01",0.510556784,486
1950,25025140202,2529,2605,"Census Tract 1402.02",0.594056395,1284
1950,25025140300,3110,3309,"Census Tract 1403",0.598025525,1679
1950,25025140400,2761,3007,"Census Tract 1404",0.723753129,1517
1950,25025980101,,,"Census Tract 9801.01",1.262676067,0
1950,25025980300,,,"Census Tract 9803",0.803593264,0
1950,25025980700,,,"Census Tract 9807",1.1154279,0
1950,25025980900,,,"Census Tract 9809",0.647580965,0
1950,25025981000,,,"Census Tract 9810",0.437910891,0
1950,25025981100,,,"Census Tract 9811",0.965124122,0
1950,25025981201,,,"Census Tract 9812.01",0.308712614,0
1950,25025981202,,,"Census Tract 9812.02",0.655004165,0
1950,25025981300,,,"Census Tract 9813",2.697552924,0
1950,25025981501,,,"Census Tract 9815.01",0.346621668,0
1950,25025981502,,,"Census Tract 9815.02",0.483474806,0
1950,25025981600,,,"Census Tract 9816",0.226634631,0
1950,25025981700,,,"Census Tract 9817",0.121145344,0
1950,25025981800,,,"Census Tract 9818",0.276000881,0
1950,25025981900,,,"Census Tract 9819",0.090295395,0
1960,25025000101,1055,1105,"Census Tract 1.01",0.096496196,616
1960,25025000102,1241,1301,"Census Tract 1.02",0.412138958,725
1960,25025000201,2236,2571,"Census Tract 2.01",0.231362838,1354
1960,25025000202,2317,2666,"Census Tract 2.02",0.232292958,1403
1960,25025000301,1343,1485,"Census Tract 3.01",0.220630743,786
1960,25025000302,1331,1472,"Census Tract 3.02",0.227792165,779
1960,25025000401,2448,2750,"Census Tract 4.01",0.166426247,1825
1960,25025000402,1515,1701,"Census Tract 4.02",0.311495638,1129
1960,25025000502,1585,2344,"Census Tract 5.02",0.327300344,1881
1960,25025000503,681,1007,"Census Tract 5.03",0.054033839,808
1960,25025000505,597,884,"Census Tract 5.05",0.055747746,709
1960,25025000506,797,1179,"Census Tract 5.06",0.072937014,947
1960,25025000601,1822,2187,"Census Tract 6.01",0.191223272,1210
1960,25025000603,928,1114,"Census Tract 6.03",0.120651905,617
1960,25025000604,1516,1819,"Census Tract 6.04",0.11083603,1007
1960,25025000701,1515,2190,"Census Tract 7.01",0.088973381,1785
1960,25025000703,822,1189,"Census Tract 7.03",0.06872657,969
1960,25025000704,1662,2402,"Census Tract 7.04",0.092579189,1959
1960,25025000804,1223,1018,"Census Tract 8.04",0.234594127,665
1960,25025000805,1510,1258,"Census Tract 8.05",0.14281108,822
1960,25025000806,712,593,"Census Tract 8.06",0.547177415,387
1960,25025000807,650,542,"Census Tract 8.07",0.084399615,353
1960,25025010103,1108,1458,"Census Tract 101.03",0.111237962,577
1960,25025010104,1664,2189,"Census Tract 101.04",0.108757642,866
1960,25025010204,1366,1737,"Census Tract 102.04",0.097842148,1633
1960,25025010205,1061,1350,"Census Tract 102.05",0.07056905,1269
1960,25025010206,785,999,"Census Tract 102.06",0.070378701,939
1960,25025010300,1283,2442,"Census Tract 103",0.195834104,1069
1960,25025010403,918,1104,"Census Tract 104.03",0.034191277,1106
1960,25025010404,1203,1447,"Census Tract 104.04",0.05286086,1450
1960,25025010405,1609,2012,"Census Tract 104.05",0.140886361,1898
1960,25025010408,611,777,"Census Tract 104.08",0.016749498,731
1960,25025010500,1519,1433,"Census Tract 105",0.07462042,1430
1960,25025010600,1176,1203,"Census Tract 106",0.131150409,1540
1960,25025010701,1223,1907,"Census Tract 107.01",0.078000744,1363
1960,25025010702,1174,1832,"Census Tract 107.02",0.115898602,1308
1960,25025010801,1283,1991,"Census Tract 108.01",0.050980543,1518
1960,25025010802,1337,2075,"Census Tract 108.02",0.060551243,1582
1960,25025020101,2144,3144,"Census Tract 201.01",0.084701161,2671
1960,25025020200,1983,1841,"Census Tract 202",0.041813705,1898
1960,25025020301,528,562,"Census Tract 203.01",0.101462628,342
1960,25025020302,1476,1058,"Census Tract 203.02",0.02964724,1529
1960,25025020304,132,94,"Census Tract 203.04",0.056005663,136
1960,25025020305,341,325,"Census Tract 203.05",0.114970798,265
1960,25025030100,1697,1726,"Census Tract 301",0.029862685,1139
1960,25025030200,1068,1075,"Census Tract 302",0.022494698,721
1960,25025030301,56,43,"Census Tract 303.01",0.059533092,51
1960,25025030302,1004,425,"Census Tract 303.02",0.184320537,1154
1960,25025030400,1829,1868,"Census Tract 304",0.063772494,1304
1960,25025030500,3551,1270,"Census Tract 305",0.073834316,870
1960,25025040100,1276,1185,"Census Tract 401",0.101973827,874
1960,25025040200,1169,1349,"Census Tract 402",0.054554691,737
1960,25025040300,2858,3093,"Census Tract 403",0.10795648,1721
1960,25025040401,1725,1713,"Census Tract 404.01",0.167337834,992
1960,25025040600,1892,1978,"Census Tract 406",0.554860848,1107
1960,25025040801,1452,946,"Census Tract 408.01",0.366971569,548
1960,25025050101,2163,2217,"Census Tract 501.01",0.115741844,1311
1960,25025050200,2567,2579,"Census Tract 502",0.093927458,1648
1960,25025050300,1217,1248,"Census Tract 503",0.137194452,649
1960,25025050400,1222,1150,"Census Tract 504",0.050958149,771
1960,25025050500,1101,1176,"Census Tract 505",0.105113224,727
1960,25025050600,1132,1126,"Census Tract 506",0.0663532,755
1960,25025050700,2413,2450,"Census Tract 507",0.103450282,1542
1960,25025050901,2533,2589,"Census Tract 509.01",0.237799161,1511
1960,25025051000,2126,2101,"Census Tract 510",0.402789494,1199
1960,25025051101,3476,3673,"Census Tract 511.01",0.447645684,2008
1960,25025051200,1951,1956,"Census Tract 512",0.1657969,1172
1960,25025060101,2004,2191,"Census Tract 601.01",0.114140678,1291
1960,25025060200,1441,1592,"Census Tract 602",0.065786016,972
1960,25025060301,2226,2447,"Census Tract 603.01",0.105220174,1424
1960,25025060400,3055,3444,"Census Tract 604",0.154162484,2073
1960,25025060501,3561,2543,"Census Tract 605.01",0.158974475,1598
1960,25025060601,3259,504,"Census Tract 606.01",0.054182488,339
1960,25025060602,201,36,"Census Tract 606.02",0.166839762,24
1960,25025060603,143,22,"Census Tract 606.03",0.153757463,15
1960,25025060604,467,72,"Census Tract 606.04",0.160740892,48
1960,25025060700,1684,2043,"Census Tract 607",0.049508721,946
1960,25025060800,2642,2652,"Census Tract 608",0.13243806,1676
1960,25025061000,2126,2344,"Census Tract 610",0.06161341,1353
1960,25025061101,1174,1537,"Census Tract 611.01",0.063815737,957
1960,25025061201,1063,1072,"Census Tract 612.01",0.216994432,696
1960,25025061202,,,"Census Tract 612.02",0.147031563,0
1960,25025061203,348,363,"Census Tract 612.03",0.136182865,218
1960,25025061204,67,70,"Census Tract 612.04",0.159165209,42
1960,25025070102,206,82,"Census Tract 701.02",0.053658934,169
1960,25025070103,10,4,"Census Tract 701.03",0.041543048,9
1960,25025070104,78,31,"Census Tract 701.04",0.294131852,64
1960,25025070201,589,331,"Census Tract 702.01",0.05561068,426
1960,25025070202,1684,770,"Census Tract 702.02",0.068935452,965
1960,25025070301,1320,1065,"Census Tract 703.01",0.055340408,1592
1960,25025070302,816,657,"Census Tract 703.02",0.074635092,981
1960,25025070402,1092,887,"Census Tract 704.02",0.095440593,800
1960,25025070501,1672,936,"Census Tract 705.01",0.04743767,1455
1960,25025070502,2546,1715,"Census Tract 705.02",0.06734278,2379
1960,25025070600,1932,1330,"Census Tract 706",0.051365487,2178
1960,25025070700,1143,971,"Census Tract 707",0.062817663,1190
1960,25025070801,511,472,"Census Tract 708.01",0.023642966,507
1960,25025070802,1426,1319,"Census Tract 708.02",0.050175134,1418
1960,25025070901,594,447,"Census Tract 709.01",0.02227462,596
1960,25025070902,1002,754,"Census Tract 709.02",0.042808305,1006
1960,25025071101,1787,2018,"Census Tract 711.01",0.138622644,1555
1960,25025071201,1347,1604,"Census Tract 712.01",0.15918104,936
1960,25025080100,1527,1749,"Census Tract 801",0.396397187,970
1960,25025080300,2082,2333,"Census Tract 803",0.103797002,1263
1960,25025080401,1899,2275,"Census Tract 804.01",0.170003869,1438
1960,25025080500,1587,2008,"Census Tract 805",0.09423827,1398
1960,25025080601,1632,1850,"Census Tract 806.01",0.216860069,1125
1960,25025080801,2235,3159,"Census Tract 808.01",0.140884817,1697
1960,25025080900,1865,2277,"Census Tract 809",0.099032115,1268
1960,25025081001,2260,3342,"Census Tract 810.01",0.216102536,1663
1960,25025081101,526,743,"Census Tract 811.01",0.045476271,326
1960,25025081102,1133,1581,"Census Tract 811.02",0.145509548,702
1960,25025081200,2680,3254,"Census Tract 812",0.103962253,1626
1960,25025081301,740,853,"Census Tract 813.01",0.090988835,510
1960,25025081302,1035,1193,"Census Tract 813.02",0.133082078,712
1960,25025081400,2511,2860,"Census Tract 814",0.239568667,1655
1960,25025081500,2000,2315,"Census Tract 815",0.129843453,1180
1960,25025081700,3446,3933,"Census Tract 817",0.244740506,2258
1960,25025081800,2326,2789,"Census Tract 818",0.144372091,1458
1960,25025081900,2917,3408,"Census Tract 819",0.16732934,1954
1960,25025082000,2289,2636,"Census Tract 820",0.151412278,1392
1960,25025082100,2620,3178,"Census Tract 821",0.14308058,2103
1960,25025090100,3152,3475,"Census Tract 901",0.172573765,2052
1960,25025090200,1245,1457,"Census Tract 902",0.105664964,890
1960,25025090300,2296,2674,"Census Tract 903",0.146870944,1469
1960,25025090400,3319,3632,"Census Tract 904",0.164147086,1876
1960,25025090600,1887,1953,"Census Tract 906",0.116473508,1141
1960,25025090700,2893,3155,"Census Tract 907",0.414312713,1807
1960,25025090901,1957,2234,"Census Tract 909.01",0.452978913,1086
1960,25025091001,2606,2973,"Census Tract 910.01",0.458021022,1446
1960,25025091100,3088,3334,"Census Tract 911",0.162951327,1790
1960,25025091200,1675,2004,"Census Tract 912",0.124947292,1159
1960,25025091300,1622,1689,"Census Tract 913",0.101374983,969
1960,25025091400,1722,1903,"Census Tract 914",0.125490924,1202
1960,25025091500,2393,2673,"Census Tract 915",0.156049751,1541
1960,25025091600,1929,2072,"Census Tract 916",0.12091098,1153
1960,25025091700,1977,2127,"Census Tract 917",0.1115314,1113
1960,25025091800,2551,2748,"Census Tract 918",0.166821615,1431
1960,25025091900,2358,2657,"Census Tract 919",0.186094677,1438
1960,25025092000,3024,3438,"Census Tract 920",0.189089285,1798
1960,25025092101,3791,4315,"Census Tract 921.01",0.504290732,2264
1960,25025092200,2002,2500,"Census Tract 922",0.224914546,1223
1960,25025092300,1887,2151,"Census Tract 923",0.132423002,1194
1960,25025092400,3712,4268,"Census Tract 924",0.229532328,2526
1960,25025100100,3817,4130,"Census Tract 1001",0.400228864,2353
1960,25025100200,1827,2041,"Census Tract 1002",0.135383247,1285
1960,25025100300,2192,2472,"Census Tract 1003",0.189914771,1364
1960,25025100400,2448,3070,"Census Tract 1004",0.241796477,1655
1960,25025100500,3411,3861,"Census Tract 1005",0.331165999,2157
1960,25025100601,3216,3569,"Census Tract 1006.01",0.213354647,1879
1960,25025100603,1234,1369,"Census Tract 1006.03",0.336872589,721
1960,25025100700,2621,2952,"Census Tract 1007",0.467614116,1595
1960,25025100800,2763,3405,"Census Tract 1008",0.67442742,1738
1960,25025100900,2151,2402,"Census Tract 1009",0.36810362,1266
1960,25025101001,2627,2596,"Census Tract 1010.01",0.502755976,1405
1960,25025101002,2390,2367,"Census Tract 1010.02",0.449781988,1280
1960,25025101101,2023,2222,"Census Tract 1011.01",0.226860501,1265
1960,25025101102,2635,2863,"Census Tract 1011.02",0.216677443,1726
1960,25025110104,1720,2035,"Census Tract 1101.04",0.1165793,722
1960,25025110105,1983,2348,"Census Tract 1101.05",0.134392123,821
1960,25025110106,1155,1367,"Census Tract 1101.06",0.082110029,478
1960,25025110201,626,683,"Census Tract 1102.01",0.13444386,405
1960,25025110301,1214,1290,"Census Tract 1103.01",0.315804925,741
1960,25025110401,1759,1898,"Census Tract 1104.01",0.201915985,1036
1960,25025110403,2033,2187,"Census Tract 1104.03",0.364042598,1208
1960,25025110501,2043,2271,"Census Tract 1105.01",0.250131264,1250
1960,25025110502,2243,2494,"Census Tract 1105.02",0.264209707,1373
1960,25025110601,1340,1551,"Census Tract 1106.01",0.543044192,862
1960,25025110607,3039,3518,"Census Tract 1106.07",0.433989637,1955
1960,25025120103,851,1080,"Census Tract 1201.03",0.131346549,529
1960,25025120104,1273,1616,"Census Tract 1201.04",0.156680256,792
1960,25025120105,1369,1738,"Census Tract 1201.05",0.710337624,851
1960,25025120201,2064,2226,"Census Tract 1202.01",0.275355704,1261
1960,25025120301,3067,3387,"Census Tract 1203.01",0.253905799,1863
1960,25025120400,3688,4238,"Census Tract 1204",0.386042699,2319
1960,25025120500,1491,1648,"Census Tract 1205",0.082512348,929
1960,25025120600,1602,1882,"Census Tract 1206",0.099342155,1044
1960,25025120700,1105,1162,"Census Tract 1207",0.119922558,702
1960,25025130101,2738,3157,"Census Tract 1301.01",1.030221718,1792
1960,25025130200,2781,3325,"Census Tract 1302",0.522263401,1728
1960,25025130300,2645,3059,"Census Tract 1303",0.556938464,1586
1960,25025130402,1856,1981,"Census Tract 1304.02",0.719645389,1077
1960,25025130404,935,994,"Census Tract 1304.04",0.618358051,542
1960,25025130406,1664,1769,"Census Tract 1304.06",0.406296846,957
1960,25025140102,1657,1764,"Census Tract 1401.02",0.806045785,944
1960,25025140105,1383,1472,"Census Tract 1401.05",0.389679009,788
1960,25025140106,895,952,"Census Tract 1401.06",0.107659568,509
1960,25025140107,1019,1085,"Census Tract 1401.07",0.24222505,581
1960,25025140201,1235,1251,"Census Tract 1402.01",0.510556784,616
1960,25025140202,3255,3296,"Census Tract 1402.02",0.594056395,1626
1960,25025140300,2953,3104,"Census Tract 1403",0.598025525,1743
1960,25025140400,2975,3252,"Census Tract 1404",0.723753129,1809
1960,25025980101,,,"Census Tract 9801.01",1.262676067,0
1960,25025980300,,,"Census Tract 9803",0.803593264,0
1960,25025980700,,,"Census Tract 9807",1.1154279,0
1960,25025980900,,,"Census Tract 9809",0.647580965,0
1960,25025981000,,,"Census Tract 9810",0.437910891,0
1960,25025981100,,,"Census Tract 9811",0.965124122,0
1960,25025981201,,,"Census Tract 9812.01",0.308712614,0
1960,25025981202,,,"Census Tract 9812.02",0.655004165,0
1960,25025981300,,,"Census Tract 9813",2.697552924,0
1960,25025981501,,,"Census Tract 9815.01",0.346621668,0
1960,25025981502,,,"Census Tract 9815.02",0.483474806,0
1960,25025981600,,,"Census Tract 9816",0.226634631,0
1960,25025981700,,,"Census Tract 9817",0.121145344,0
1960,25025981800,,,"Census Tract 9818",0.276000881,0
1960,25025981900,,,"Census Tract 9819",0.090295395,0
1970,25025000101,860,961,"Census Tract 1.01",0.096496196,585
1970,25025000102,1011,1130,"Census Tract 1.02",0.412138958,689
1970,25025000201,2114,2425,"Census Tract 2.01",0.231362838,1452
1970,25025000202,2192,2514,"Census Tract 2.02",0.232292958,1506
1970,25025000301,1562,1875,"Census Tract 3.01",0.220630743,1069
1970,25025000302,1547,1858,"Census Tract 3.02",0.227792165,1059
1970,25025000401,2336,2807,"Census Tract 4.01",0.166426247,1930
1970,25025000402,1446,1736,"Census Tract 4.02",0.311495638,1195
1970,25025000502,1272,2120,"Census Tract 5.02",0.327300344,1728
1970,25025000503,547,911,"Census Tract 5.03",0.054033839,743
1970,25025000505,480,799,"Census Tract 5.05",0.055747746,651
1970,25025000506,640,1067,"Census Tract 5.06",0.072937014,869
1970,25025000601,1694,2272,"Census Tract 6.01",0.191223272,1483
1970,25025000603,862,1156,"Census Tract 6.03",0.120651905,754
1970,25025000604,1407,1887,"Census Tract 6.04",0.11083603,1231
