"YEAR","GEOID","zero_nine","ten_nineteen","twenty_thirtyfour","thirtyfive_fiftyfour","fiftyfive_sixtyfour","sixtyfive_more","NAME"
1950,25025010600,150,228,807,1191,577,700,"Census Tract 106"
1950,25025010701,116,200,1195,957,442,626,"Census Tract 107.01"
1950,25025010702,112,192,1148,919,424,601,"Census Tract 107.02"
1950,25025010801,160,222,1243,808,331,398,"Census Tract 108.01"
1950,25025010802,167,232,1295,842,345,415,"Census Tract 108.02"
1950,25025020101,214,288,1626,1614,824,826,"Census Tract 201.01"
1950,25025020200,529,308,1710,1395,575,496,"Census Tract 202"
1950,25025020301,1113,942,1965,1638,717,548,"Census Tract 203.01"
1950,25025020302,412,334,975,1069,498,469,"Census Tract 203.02"
1950,25025020304,37,30,87,95,44,42,"Census Tract 203.04"
1950,25025020305,947,750,1581,1322,600,450,"Census Tract 203.05"
1950,25025030100,736,582,1199,928,444,345,"Census Tract 301"
1950,25025030200,467,409,883,689,319,246,"Census Tract 302"
1950,25025030301,47,58,114,71,30,26,"Census Tract 303.01"
1950,25025030302,112,100,368,597,349,256,"Census Tract 303.02"
1950,25025030400,822,739,1425,1198,608,446,"Census Tract 304"
1950,25025030500,519,671,1281,781,325,284,"Census Tract 305"
1950,25025040100,461,435,824,811,374,368,"Census Tract 401"
1950,25025040200,819,619,760,703,201,217,"Census Tract 402"
1950,25025040300,1562,1253,1778,1633,585,606,"Census Tract 403"
1950,25025040401,972,861,1336,1365,440,398,"Census Tract 404.01"
1950,25025040600,1061,804,1206,1267,427,411,"Census Tract 406"
1950,25025040801,649,1559,3717,679,71,102,"Census Tract 408.01"
1950,25025050101,924,740,1353,1169,428,380,"Census Tract 501.01"
1950,25025050200,1206,907,1707,1476,550,486,"Census Tract 502"
1950,25025050300,884,661,767,656,161,134,"Census Tract 503"
1950,25025050400,555,478,911,693,259,250,"Census Tract 504"
1950,25025050500,523,397,901,569,260,200,"Census Tract 505"
1950,25025050600,562,467,841,632,270,229,"Census Tract 506"
1950,25025050700,1107,847,1773,1288,560,418,"Census Tract 507"
1950,25025050901,1275,1001,1662,1569,503,429,"Census Tract 509.01"
1950,25025051000,756,595,1109,1146,407,334,"Census Tract 510"
1950,25025051101,915,699,1440,1719,604,452,"Census Tract 511.01"
1950,25025051200,994,721,1527,1051,348,317,"Census Tract 512"
1950,25025060101,904,727,1364,1238,501,379,"Census Tract 601.01"
1950,25025060200,546,432,790,850,408,298,"Census Tract 602"
1950,25025060301,910,833,1288,1430,576,484,"Census Tract 603.01"
1950,25025060400,1289,1131,1922,1883,811,655,"Census Tract 604"
1950,25025060501,1213,1121,1884,1531,617,499,"Census Tract 605.01"
1950,25025060601,334,263,398,373,166,172,"Census Tract 606.01"
1950,25025060602,23,19,28,26,12,12,"Census Tract 606.02"
1950,25025060603,15,12,18,16,7,8,"Census Tract 606.03"
1950,25025060604,48,38,57,53,24,25,"Census Tract 606.04"
1950,25025060700,1850,326,1724,360,57,42,"Census Tract 607"
1950,25025060800,1295,1042,1683,1559,693,598,"Census Tract 608"
1950,25025061000,1494,954,1434,1294,309,257,"Census Tract 610"
1950,25025061101,1001,750,719,885,138,202,"Census Tract 611.01"
1950,25025061201,547,432,760,651,282,212,"Census Tract 612.01"
1950,25025061203,221,205,286,259,133,104,"Census Tract 612.03"
1950,25025061204,42,39,55,50,26,20,"Census Tract 612.04"
1950,25025070102,41,32,105,140,65,60,"Census Tract 701.02"
1950,25025070103,2,1,5,7,3,3,"Census Tract 701.03"
1950,25025070104,15,12,40,53,25,23,"Census Tract 701.04"
1950,25025070201,134,128,340,440,215,133,"Census Tract 702.01"
1950,25025070202,298,239,615,921,389,318,"Census Tract 702.02"
1950,25025070301,236,206,734,1018,528,569,"Census Tract 703.01"
1950,25025070302,144,126,459,635,329,352,"Census Tract 703.02"
1950,25025070402,537,440,769,862,438,405,"Census Tract 704.02"
1950,25025070501,405,275,671,1091,604,581,"Census Tract 705.01"
1950,25025070502,701,532,1133,1866,942,991,"Census Tract 705.02"
1950,25025070600,440,268,1016,1526,817,998,"Census Tract 706"
1950,25025070700,367,193,830,1011,375,367,"Census Tract 707"
1950,25025070801,145,101,439,472,164,162,"Census Tract 708.01"
1950,25025070802,404,281,1225,1319,459,452,"Census Tract 708.02"
1950,25025070901,240,143,500,587,226,272,"Census Tract 709.01"
1950,25025070902,404,241,843,991,382,459,"Census Tract 709.02"
1950,25025071101,813,869,2085,1662,637,650,"Census Tract 711.01"
1950,25025071201,1036,713,1247,1338,530,488,"Census Tract 712.01"
1950,25025080100,967,823,1224,1130,397,507,"Census Tract 801"
1950,25025080300,1258,951,1299,1267,449,463,"Census Tract 803"
1950,25025080401,1766,1327,1790,1853,588,604,"Census Tract 804.01"
1950,25025080500,1402,951,1690,1782,561,598,"Census Tract 805"
1950,25025080601,1083,1068,1511,1739,578,574,"Census Tract 806.01"
1950,25025080801,1419,1361,1501,1514,353,426,"Census Tract 808.01"
1950,25025080900,680,676,1207,1098,547,550,"Census Tract 809"
1950,25025081001,839,874,1629,1828,733,688,"Census Tract 810.01"
1950,25025081101,217,209,298,357,128,187,"Census Tract 811.01"
1950,25025081102,474,446,632,748,264,378,"Census Tract 811.02"
1950,25025081200,1269,950,1227,1216,348,311,"Census Tract 812"
1950,25025081301,321,241,464,542,197,188,"Census Tract 813.01"
1950,25025081302,449,336,648,757,275,263,"Census Tract 813.02"
1950,25025081400,1384,1155,1884,1926,645,714,"Census Tract 814"
1950,25025081500,1221,1035,1432,1411,464,505,"Census Tract 815"
1950,25025081700,1709,1462,2332,2504,861,889,"Census Tract 817"
1950,25025081800,1086,812,1611,1525,586,636,"Census Tract 818"
1950,25025081900,1298,978,1928,2039,763,628,"Census Tract 819"
1950,25025082000,839,668,1339,1583,594,583,"Census Tract 820"
1950,25025082100,998,755,1249,2470,711,643,"Census Tract 821"
1950,25025090100,1203,972,1557,2419,887,803,"Census Tract 901"
1950,25025090200,547,396,680,1054,298,257,"Census Tract 902"
1950,25025090300,928,819,1322,1606,616,514,"Census Tract 903"
1950,25025090400,1616,1489,2084,2141,688,653,"Census Tract 904"
1950,25025090600,1198,1084,1449,1313,434,369,"Census Tract 906"
1950,25025090700,1239,995,1884,1811,790,548,"Census Tract 907"
1950,25025090901,621,277,698,557,215,159,"Census Tract 909.01"
1950,25025091001,834,372,939,749,290,214,"Census Tract 910.01"
1950,25025091100,1148,978,1592,1764,706,595,"Census Tract 911"
1950,25025091200,575,462,910,1097,477,525,"Census Tract 912"
1950,25025091300,761,647,939,1145,389,359,"Census Tract 913"
1950,25025091400,576,437,1010,1081,474,496,"Census Tract 914"
1950,25025091500,1011,682,1268,1546,603,540,"Census Tract 915"
1950,25025091600,829,728,1101,1239,380,367,"Census Tract 916"
1950,25025091700,752,619,912,1205,415,364,"Census Tract 917"
1950,25025091800,1060,869,1324,1463,519,484,"Census Tract 918"
1950,25025091900,959,763,1203,1460,503,597,"Census Tract 919"
1950,25025092000,1126,888,1457,1817,718,765,"Census Tract 920"
1950,25025092101,1923,1233,2224,2467,818,821,"Census Tract 921.01"
1950,25025092200,610,578,909,1174,526,630,"Census Tract 922"
1950,25025092300,734,548,1012,1175,485,466,"Census Tract 923"
1950,25025092400,1247,1000,1639,2521,837,704,"Census Tract 924"
1950,25025100100,1543,877,2017,2026,805,693,"Census Tract 1001"
1950,25025100200,762,555,994,1388,545,390,"Census Tract 1002"
1950,25025100300,895,758,1141,1476,465,394,"Census Tract 1003"
1950,25025100400,876,713,1089,1689,721,661,"Census Tract 1004"
1950,25025100500,1357,1056,1874,2220,837,895,"Census Tract 1005"
1950,25025100601,1231,1010,1557,1906,678,798,"Census Tract 1006.01"
1950,25025100603,472,387,598,731,260,306,"Census Tract 1006.03"
1950,25025100700,932,806,1171,1746,645,530,"Census Tract 1007"
1950,25025100800,1023,869,1382,1808,731,726,"Census Tract 1008"
1950,25025100900,822,590,964,1173,401,377,"Census Tract 1009"
1950,25025101001,875,433,1048,1185,441,338,"Census Tract 1010.01"
1950,25025101002,803,405,961,1090,404,312,"Census Tract 1010.02"
1950,25025101101,679,633,1007,1464,568,414,"Census Tract 1011.01"
1950,25025101102,922,873,1347,1944,744,505,"Census Tract 1011.02"
1950,25025110104,404,318,694,1070,467,508,"Census Tract 1101.04"
1950,25025110105,470,370,778,1154,492,526,"Census Tract 1101.05"
1950,25025110106,268,211,466,719,314,343,"Census Tract 1101.06"
1950,25025110201,212,205,305,403,156,111,"Census Tract 1102.01"
1950,25025110301,433,399,520,698,265,187,"Census Tract 1103.01"
1950,25025110401,574,488,751,1043,386,334,"Census Tract 1104.01"
1950,25025110403,669,570,870,1203,443,379,"Census Tract 1104.03"
1950,25025110501,701,536,992,1208,524,477,"Census Tract 1105.01"
1950,25025110502,770,588,1090,1326,576,524,"Census Tract 1105.02"
1950,25025110601,435,335,530,814,338,319,"Census Tract 1106.01"
1950,25025110607,987,760,1201,1846,767,724,"Census Tract 1106.07"
1950,25025120103,244,224,319,484,193,206,"Census Tract 1201.03"
1950,25025120104,365,335,477,724,289,308,"Census Tract 1201.04"
1950,25025120105,392,361,513,779,310,331,"Census Tract 1201.05"
1950,25025120201,1008,793,1248,1315,409,307,"Census Tract 1202.01"
1950,25025120301,1290,1017,1711,1925,696,727,"Census Tract 1203.01"
1950,25025120400,1389,1171,1867,2205,960,1312,"Census Tract 1204"
1950,25025120500,754,586,946,932,312,269,"Census Tract 1205"
1950,25025120600,652,422,907,1044,410,390,"Census Tract 1206"
1950,25025120700,319,240,470,669,261,259,"Census Tract 1207"
1950,25025130101,813,772,1178,1677,563,407,"Census Tract 1301.01"
1950,25025130200,836,699,970,1640,803,779,"Census Tract 1302"
1950,25025130300,781,837,1004,1690,660,648,"Census Tract 1303"
1950,25025130402,605,423,695,860,305,270,"Census Tract 1304.02"
1950,25025130404,306,210,350,426,150,132,"Census Tract 1304.04"
1950,25025130406,567,380,646,741,251,220,"Census Tract 1304.06"
1950,25025140102,591,387,671,717,231,202,"Census Tract 1401.02"
1950,25025140105,493,323,560,599,193,169,"Census Tract 1401.05"
1950,25025140106,319,209,362,387,125,109,"Census Tract 1401.06"
1950,25025140107,363,238,413,441,142,124,"Census Tract 1401.07"
1950,25025140201,453,254,531,421,151,138,"Census Tract 1402.01"
1950,25025140202,1195,671,1399,1109,398,362,"Census Tract 1402.02"
1950,25025140300,1089,978,1451,1654,604,643,"Census Tract 1403"
1950,25025140400,1068,755,1257,1608,586,494,"Census Tract 1404"
1950,25025980101,,,,,,,"Census Tract 9801.01"
1950,25025980300,,,,,,,"Census Tract 9803"
1950,25025980700,,,,,,,"Census Tract 9807"
1950,25025980900,,,,,,,"Census Tract 9809"
1950,25025981000,,,,,,,"Census Tract 9810"
1950,25025981100,,,,,,,"Census Tract 9811"
1950,25025981201,,,,,,,"Census Tract 9812.01"
1950,25025981202,,,,,,,"Census Tract 9812.02"
1950,25025981300,,,,,,,"Census Tract 9813"
1950,25025981501,,,,,,,"Census Tract 9815.01"
1950,25025981502,,,,,,,"Census Tract 9815.02"
1950,25025981600,,,,,,,"Census Tract 9816"
1950,25025981700,,,,,,,"Census Tract 9817"
1950,25025981800,,,,,,,"Census Tract 9818"
1950,25025981900,,,,,,,"Census Tract 9819"
1960,25025000101,457,321,418,523,207,235,"Census Tract 1.01"
1960,25025000102,537,377,492,615,244,276,"Census Tract 1.02"
1960,25025000201,1000,710,971,1132,508,485,"Census Tract 2.01"
1960,25025000202,1037,737,1006,1174,527,503,"Census Tract 2.02"
1960,25025000301,559,394,554,680,338,303,"Census Tract 3.01"
1960,25025000302,554,391,548,674,335,301,"Census Tract 3.02"
1960,25025000401,607,565,1221,1270,807,729,"Census Tract 4.01"
1960,25025000402,375,349,755,786,499,451,"Census Tract 4.02"
1960,25025000502,265,268,863,975,744,814,"Census Tract 5.02"
1960,25025000503,114,115,371,419,319,350,"Census Tract 5.03"
1960,25025000505,100,101,326,367,280,307,"Census Tract 5.05"
1960,25025000506,133,135,434,490,374,410,"Census Tract 5.06"
1960,25025000601,890,602,851,872,390,403,"Census Tract 6.01"
1960,25025000603,453,307,434,444,199,205,"Census Tract 6.03"
1960,25025000604,740,501,708,726,325,335,"Census Tract 6.04"
1960,25025000701,281,248,880,925,650,721,"Census Tract 7.01"
1960,25025000703,153,135,477,502,353,391,"Census Tract 7.03"
1960,25025000704,308,272,965,1014,713,791,"Census Tract 7.04"
1960,25025000804,356,270,687,480,226,223,"Census Tract 8.04"
1960,25025000805,439,333,849,593,279,275,"Census Tract 8.05"
1960,25025000806,207,157,400,279,132,130,"Census Tract 8.06"
1960,25025000807,189,143,366,255,120,118,"Census Tract 8.07"
1960,25025010103,31,912,961,271,187,204,"Census Tract 101.03"
1960,25025010104,47,1370,1443,406,281,306,"Census Tract 101.04"
1960,25025010204,145,143,1142,745,468,460,"Census Tract 102.04"
1960,25025010205,112,111,887,579,363,358,"Census Tract 102.05"
1960,25025010206,83,82,656,429,269,265,"Census Tract 102.06"
1960,25025010300,612,1023,1076,524,247,243,"Census Tract 103"
1960,25025010403,65,145,519,479,352,461,"Census Tract 104.03"
1960,25025010404,85,191,681,629,461,605,"Census Tract 104.04"
1960,25025010405,158,324,940,828,596,775,"Census Tract 104.05"
1960,25025010408,65,64,511,333,209,206,"Census Tract 104.08"
1960,25025010500,221,239,579,825,491,597,"Census Tract 105"
1960,25025010600,77,108,374,668,476,676,"Census Tract 106"
1960,25025010701,81,322,1225,617,395,490,"Census Tract 107.01"
1960,25025010702,78,309,1176,593,380,471,"Census Tract 107.02"
1960,25025010801,58,399,1423,595,369,430,"Census Tract 108.01"
1960,25025010802,61,416,1483,620,384,448,"Census Tract 108.02"
1960,25025020101,204,313,1796,1259,840,876,"Census Tract 201.01"
1960,25025020200,202,204,1571,848,464,535,"Census Tract 202"
1960,25025020301,56,121,397,265,127,124,"Census Tract 203.01"
1960,25025020302,181,199,414,768,457,515,"Census Tract 203.02"
1960,25025020304,16,18,37,68,41,46,"Census Tract 203.04"
1960,25025020305,44,71,177,182,93,98,"Census Tract 203.05"
1960,25025030100,507,551,629,1000,281,455,"Census Tract 301"
1960,25025030200,310,289,405,625,199,315,"Census Tract 302"
1960,25025030301,8,12,20,37,13,8,"Census Tract 303.01"
1960,25025030302,52,43,178,475,329,352,"Census Tract 303.02"
1960,25025030400,510,515,672,1060,364,577,"Census Tract 304"
1960,25025030500,459,422,561,672,220,339,"Census Tract 305"
1960,25025040100,469,344,459,622,276,290,"Census Tract 401"
1960,25025040200,618,490,481,506,193,230,"Census Tract 402"
1960,25025040300,1259,1085,1163,1333,533,578,"Census Tract 403"
1960,25025040401,713,565,712,804,319,325,"Census Tract 404.01"
1960,25025040600,778,722,667,957,396,350,"Census Tract 406"
1960,25025040801,395,416,389,369,108,230,"Census Tract 408.01"
1960,25025050101,869,684,896,1100,380,410,"Census Tract 501.01"
1960,25025050200,950,821,1047,1314,481,532,"Census Tract 502"
1960,25025050300,595,503,391,481,134,221,"Census Tract 503"
1960,25025050400,362,390,461,658,227,274,"Census Tract 504"
1960,25025050500,427,358,458,587,195,250,"Census Tract 505"
1960,25025050600,394,345,457,592,192,278,"Census Tract 506"
1960,25025050700,894,741,1024,1252,404,548,"Census Tract 507"
1960,25025050901,993,834,1089,1319,430,457,"Census Tract 509.01"
1960,25025051000,716,672,781,1121,397,365,"Census Tract 510"
1960,25025051101,1494,1008,1412,1895,630,710,"Census Tract 511.01"
1960,25025051200,795,624,807,1069,270,343,"Census Tract 512"
1960,25025060101,748,685,722,1141,417,482,"Census Tract 601.01"
1960,25025060200,506,433,574,797,348,375,"Census Tract 602"
1960,25025060301,862,716,851,1199,484,561,"Census Tract 603.01"
1960,25025060400,1136,977,1180,1683,660,862,"Census Tract 604"
1960,25025060501,1060,802,1004,1178,520,524,"Census Tract 605.01"
1960,25025060601,192,172,172,255,99,121,"Census Tract 606.01"
1960,25025060602,14,12,12,18,7,9,"Census Tract 606.02"
1960,25025060603,8,8,8,11,4,5,"Census Tract 606.03"
1960,25025060604,28,25,25,37,14,17,"Census Tract 606.04"
1960,25025060700,1396,718,648,581,101,283,"Census Tract 607"
1960,25025060800,976,940,956,1354,466,602,"Census Tract 608"
1960,25025061000,1105,770,805,930,382,478,"Census Tract 610"
1960,25025061101,570,486,447,598,219,392,"Census Tract 611.01"
1960,25025061201,396,356,340,607,192,244,"Census Tract 612.01"
1960,25025061203,140,106,121,171,79,95,"Census Tract 612.03"
1960,25025061204,27,20,23,33,15,18,"Census Tract 612.04"
1960,25025070102,32,24,38,79,49,66,"Census Tract 701.02"
1960,25025070103,2,1,2,4,2,3,"Census Tract 701.03"
1960,25025070104,12,9,15,30,19,25,"Census Tract 701.04"
1960,25025070201,105,101,223,254,124,112,"Census Tract 702.01"
1960,25025070202,302,234,588,652,330,347,"Census Tract 702.02"
1960,25025070301,106,156,478,722,401,523,"Census Tract 703.01"
1960,25025070302,68,95,299,445,248,318,"Census Tract 703.02"
1960,25025070402,311,281,304,508,276,300,"Census Tract 704.02"
1960,25025070501,306,231,398,782,438,453,"Census Tract 705.01"
1960,25025070502,527,397,658,1238,734,707,"Census Tract 705.02"
1960,25025070600,282,203,556,929,504,788,"Census Tract 706"
1960,25025070700,269,157,459,619,297,313,"Census Tract 707"
1960,25025070801,129,69,237,295,127,126,"Census Tract 708.01"
1960,25025070802,362,193,661,824,353,353,"Census Tract 708.02"
1960,25025070901,122,92,252,302,135,139,"Census Tract 709.01"
1960,25025070902,206,156,425,509,227,234,"Census Tract 709.02"
1960,25025071101,328,551,965,877,538,545,"Census Tract 711.01"
1960,25025071201,669,543,434,630,260,415,"Census Tract 712.01"
1960,25025080100,639,484,616,786,309,442,"Census Tract 801"
1960,25025080300,1146,795,801,907,351,415,"Census Tract 803"
1960,25025080401,1011,664,691,900,385,524,"Census Tract 804.01"
1960,25025080500,790,489,574,851,355,537,"Census Tract 805"
1960,25025080601,801,528,530,806,387,429,"Census Tract 806.01"
1960,25025080801,1111,1192,1083,979,413,616,"Census Tract 808.01"
1960,25025080900,715,705,828,918,476,499,"Census Tract 809"
1960,25025081001,667,951,1380,1327,624,653,"Census Tract 810.01"
1960,25025081101,202,188,251,275,135,218,"Census Tract 811.01"
1960,25025081102,465,410,530,582,278,449,"Census Tract 811.02"
1960,25025081200,1807,1104,1016,1117,344,547,"Census Tract 812"
1960,25025081301,279,189,333,385,178,230,"Census Tract 813.01"
1960,25025081302,389,264,465,538,249,322,"Census Tract 813.02"
1960,25025081400,1188,837,1015,1210,492,629,"Census Tract 814"
1960,25025081500,1006,703,868,961,355,422,"Census Tract 815"
1960,25025081700,1767,1132,1407,1736,648,689,"Census Tract 817"
1960,25025081800,1165,777,1015,1180,428,550,"Census Tract 818"
1960,25025081900,1435,886,1300,1536,554,614,"Census Tract 819"
1960,25025082000,1029,700,1018,1141,407,630,"Census Tract 820"
1960,25025082100,997,624,1311,1397,722,747,"Census Tract 821"
1960,25025090100,1242,941,1215,1612,786,831,"Census Tract 901"
1960,25025090200,525,358,549,656,299,315,"Census Tract 902"
1960,25025090300,1384,779,1121,1066,285,335,"Census Tract 903"
1960,25025090400,1812,1156,1436,1485,548,514,"Census Tract 904"
1960,25025090600,861,656,779,837,334,373,"Census Tract 906"
1960,25025090700,1096,958,1134,1579,631,650,"Census Tract 907"
1960,25025090901,1359,780,716,750,247,340,"Census Tract 909.01"
1960,25025091001,1808,1038,953,998,328,453,"Census Tract 910.01"
1960,25025091100,1290,964,1268,1575,626,699,"Census Tract 911"
1960,25025091200,527,521,624,941,511,555,"Census Tract 912"
1960,25025091300,640,564,618,833,331,325,"Census Tract 913"
1960,25025091400,634,440,762,827,459,503,"Census Tract 914"
1960,25025091500,961,714,995,1248,566,582,"Census Tract 915"
1960,25025091600,765,662,808,1013,399,354,"Census Tract 916"
1960,25025091700,858,678,860,936,402,370,"Census Tract 917"
1960,25025091800,1217,862,1064,1202,484,470,"Census Tract 918"
1960,25025091900,960,774,989,1170,524,598,"Census Tract 919"
1960,25025092000,1286,1025,1169,1590,646,746,"Census Tract 920"
1960,25025092101,1553,1313,1431,1917,896,996,"Census Tract 921.01"
1960,25025092200,740,658,792,1060,566,686,"Census Tract 922"
1960,25025092300,805,540,795,918,406,574,"Census Tract 923"
1960,25025092400,1435,1245,1386,1930,954,1030,"Census Tract 924"
1960,25025100100,1636,1239,1272,1965,859,976,"Census Tract 1001"
1960,25025100200,501,591,560,1077,533,606,"Census Tract 1002"
1960,25025100300,885,721,882,1151,536,489,"Census Tract 1003"
1960,25025100400,931,740,955,1363,750,779,"Census Tract 1004"
1960,25025100500,1311,1047,1365,1754,862,933,"Census Tract 1005"
1960,25025100601,1349,993,1302,1555,726,861,"Census Tract 1006.01"
1960,25025100603,517,381,499,597,279,330,"Census Tract 1006.03"
1960,25025100700,952,795,882,1414,761,769,"Census Tract 1007"
1960,25025100800,988,984,1097,1482,760,857,"Census Tract 1008"
1960,25025100900,825,724,757,1176,552,518,"Census Tract 1009"
1960,25025101001,1030,816,790,1502,579,507,"Census Tract 1010.01"
1960,25025101002,936,743,721,1365,528,463,"Census Tract 1010.02"
1960,25025101101,552,656,646,1257,575,560,"Census Tract 1011.01"
1960,25025101102,694,888,805,1658,748,705,"Census Tract 1011.02"
1960,25025110104,586,401,716,972,492,587,"Census Tract 1101.04"
1960,25025110105,675,456,830,1121,568,680,"Census Tract 1101.05"
1960,25025110106,393,266,483,653,331,396,"Census Tract 1101.06"
1960,25025110201,212,185,252,319,162,178,"Census Tract 1102.01"
1960,25025110301,452,356,491,629,302,275,"Census Tract 1103.01"
1960,25025110401,705,554,645,942,422,389,"Census Tract 1104.01"
1960,25025110403,818,646,743,1087,485,441,"Census Tract 1104.03"
1960,25025110501,806,671,737,1055,500,545,"Census Tract 1105.01"
1960,25025110502,885,737,809,1158,550,598,"Census Tract 1105.02"
1960,25025110601,468,444,464,756,370,390,"Census Tract 1106.01"
1960,25025110607,1062,1006,1052,1714,838,885,"Census Tract 1106.07"
1960,25025120103,351,311,297,481,238,252,"Census Tract 1201.03"
1960,25025120104,525,465,445,720,357,377,"Census Tract 1201.04"
1960,25025120105,564,501,478,775,384,406,"Census Tract 1201.05"
1960,25025120201,844,704,866,1045,464,367,"Census Tract 1202.01"
1960,25025120301,1202,957,1230,1551,691,823,"Census Tract 1203.01"
1960,25025120400,1215,1084,1387,1829,994,1417,"Census Tract 1204"
1960,25025120500,706,489,653,712,313,266,"Census Tract 1205"
1960,25025120600,640,500,735,817,380,412,"Census Tract 1206"
1960,25025120700,321,384,450,519,291,302,"Census Tract 1207"
1960,25025130101,948,846,865,1588,963,686,"Census Tract 1301.01"
1960,25025130200,944,1021,833,1575,864,868,"Census Tract 1302"
1960,25025130300,929,954,767,1412,818,825,"Census Tract 1303"
1960,25025130402,771,569,660,1044,425,368,"Census Tract 1304.02"
1960,25025130404,391,284,335,527,211,181,"Census Tract 1304.04"
1960,25025130406,733,542,615,907,330,306,"Census Tract 1304.06"
1960,25025140102,773,582,634,869,276,287,"Census Tract 1401.02"
1960,25025140105,645,486,529,725,230,240,"Census Tract 1401.05"
1960,25025140106,417,314,342,469,149,155,"Census Tract 1401.06"
1960,25025140107,476,358,390,534,169,177,"Census Tract 1401.07"
1960,25025140201,655,430,445,605,157,194,"Census Tract 1402.01"
1960,25025140202,1728,1134,1172,1594,413,510,"Census Tract 1402.02"
1960,25025140300,1111,965,1067,1524,656,734,"Census Tract 1403"
1960,25025140400,1184,992,981,1679,700,691,"Census Tract 1404"
1960,25025980101,,,,,,,"Census Tract 9801.01"
1960,25025980300,,,,,,,"Census Tract 9803"
1960,25025980700,,,,,,,"Census Tract 9807"
1960,25025980900,,,,,,,"Census Tract 9809"
1960,25025981000,,,,,,,"Census Tract 9810"
1960,25025981100,,,,,,,"Census Tract 9811"
1960,25025981201,,,,,,,"Census Tract 9812.01"
1960,25025981202,,,,,,,"Census Tract 9812.02"
1960,25025981300,,,,,,,"Census Tract 9813"
1960,25025981501,,,,,,,"Census Tract 9815.01"
1960,25025981502,,,,,,,"Census Tract 9815.02"
1960,25025981600,,,,,,,"Census Tract 9816"
1960,25025981700,,,,,,,"Census Tract 9817"
1960,25025981800,,,,,,,"Census Tract 9818"
1960,25025981900,,,,,,,"Census Tract 9819"
1970,25025000101,317,304,433,376,182,208,"Census Tract 1.01"
1970,25025000102,374,358,509,443,214,244,"Census Tract 1.02"
1970,25025000201,697,759,1159,950,428,547,"Census Tract 2.01"
1970,25025000202,722,786,1202,984,444,567,"Census Tract 2.02"
1970,25025000301,501,503,848,698,397,490,"Census Tract 3.01"
1970,25025000302,497,498,840,691,393,486,"Census Tract 3.02"
1970,25025000401,444,644,1622,851,617,966,"Census Tract 4.01"
1970,25025000402,274,398,1004,527,381,597,"Census Tract 4.02"
1970,25025000502,145,150,1495,411,399,791,"Census Tract 5.02"
1970,25025000503,62,65,642,177,172,340,"Census Tract 5.03"
1970,25025000505,55,57,564,155,151,298,"Census Tract 5.05"
1970,25025000506,73,76,752,207,201,398,"Census Tract 5.06"
1970,25025000601,459,575,1132,702,380,717,"Census Tract 6.01"
1970,25025000603,234,292,576,357,193,365,"Census Tract 6.03"
1970,25025000604,381,478,940,583,316,595,"Census Tract 6.04"
1970,25025000701,144,211,2017,414,340,560,"Census Tract 7.01"
1970,25025000703,78,115,1094,225,185,304,"Census Tract 7.03"
1970,25025000704,157,232,2212,455,373,614,"Census Tract 7.04"
